Benutzername,Rapid gespielt,Account existiert,Rapid-Spiele,Nr
betomedin,yes,yes,5396,932
Dreeg,yes,yes,6059,938
Tormal,yes,yes,6947,946
sanguisuga,yes,yes,9900,952
farham97,yes,yes,4661,959
Amadeus626,yes,yes,12983,969
salardavodi,yes,yes,9268,971
Alkanna,yes,yes,13799,972
lardio,yes,yes,5877,976
SebFli,yes,yes,9535,987
Soeppie,yes,yes,10747,1000
kingpong,yes,yes,7372,1003
janek86,yes,yes,3194,1004
dzhoshua,yes,yes,4305,1008
Andron0606,yes,yes,11980,1011
fernandesjorge38,yes,yes,8658,1012
Sah_Satranc,yes,yes,10335,1013
sskaup,yes,yes,8609,1017
foren,yes,yes,3362,1018
selim01,yes,yes,4461,1025
MAQUATZ,yes,yes,19357,1029
babadee,yes,yes,26847,1032
askew99,yes,yes,6324,1042
martinenko22081979,yes,yes,3846,1043
kishlay4797,yes,yes,3823,1044
sodgoo,yes,yes,7526,1045
edgarmv,yes,yes,4575,1046
Izak49,yes,yes,6623,1050
julek50,yes,yes,3805,1054
Andreas5110,yes,yes,4473,1057
henr1quep,yes,yes,5077,1071
champio,yes,yes,3484,1077
farzadnajafie,yes,yes,4513,1080
TunisianK3,yes,yes,4375,1082
vlasgennadevic,yes,yes,5712,1086
Alfin25,yes,yes,5939,1090
JairoRD06,yes,yes,3135,1094
LAAR,yes,yes,8694,1096
lolik,yes,yes,13113,1097
prashantroyghatak,yes,yes,4039,1098
agrov66,yes,yes,5922,1101
fahrettin78,yes,yes,3533,1103
RLAU,yes,yes,6513,1110
stuart1964,yes,yes,17121,1111
samehelsawy,yes,yes,10613,1115
FrancoPG1969,yes,yes,22925,1117
xelvis,yes,yes,3207,1118
Masachus,yes,yes,3471,1119
grecos,yes,yes,3975,1121
Ticking,yes,yes,7191,1125
ab4155,yes,yes,5752,1126
byud08,yes,yes,5229,1128
sito1963,yes,yes,13630,1130
elyamil,yes,yes,13220,1131
Abdihas,yes,yes,16679,1134
Buratino09,yes,yes,9624,1136
seg32,yes,yes,20308,1139
IgorCru4inin,yes,yes,7003,1143
ErfanSa031,yes,yes,5953,1146
ohhsnahhs,yes,yes,21513,1150
tananaev,yes,yes,6451,1152
Klim_2,yes,yes,8016,1154
Jurz,yes,yes,3936,1168
Aleksey-77,yes,yes,11926,1171
shehab12345,yes,yes,5054,1176
moses32,yes,yes,7195,1178
Vivekgera88,yes,yes,13414,1181
endyck,yes,yes,4278,1182
onix22,yes,yes,8407,1188
adbano,yes,yes,8000,1192
FoxTheSilver60,yes,yes,4459,1194
Pascalini,yes,yes,5297,1196
nlhnlh,yes,yes,3719,1206
Sonalsonu,yes,yes,8399,1208
danbarreto,yes,yes,3302,1209
Reis06,yes,yes,3093,1211
dr8585,yes,yes,11197,1213
krokodil20-02,yes,yes,17771,1220
steve1277,yes,yes,5860,1225
sadegh1389,yes,yes,3218,1226
federico2020,yes,yes,3862,1229
Lorbz,yes,yes,6775,1236
MIGUELCAD,yes,yes,16689,1239
noreturn,yes,yes,10978,1241
SKI1946,yes,yes,9860,1243
sewak,yes,yes,4585,1245
FranzKalta,yes,yes,21738,1246
Albert1er,yes,yes,9839,1257
Saturn-3,yes,yes,12754,1259
naxxari,yes,yes,3239,1267
Germanvince,yes,yes,3026,1274
borriquito,yes,yes,11210,1275
fery2008,yes,yes,8638,1277
T-Widya,yes,yes,5636,1279
Maxras,yes,yes,4374,1282
josimarjr,yes,yes,7419,1286
nicolasabdala,yes,yes,19716,1290
Edsongomes,yes,yes,4539,1294
rg10,yes,yes,4095,1297
danielcabr,yes,yes,6224,1304
Raiders2017,yes,yes,6211,1306
bramati,yes,yes,4253,1311
Teralba,yes,yes,4633,1324
VasilenkoY,yes,yes,5157,1334
chessirl,yes,yes,6117,1335
circus1,yes,yes,43040,1336
biv64,yes,yes,16073,1340
Boates,yes,yes,15544,1341
omid3563,yes,yes,11979,1344
neaz,yes,yes,9478,1346
PacoEsp,yes,yes,13423,1347
saod,yes,yes,9481,1350
MVova,yes,yes,5244,1353
wonderworker,yes,yes,12872,1354
ha2030,yes,yes,6153,1358
AmitShrivastav,yes,yes,6202,1361
medosamtam,yes,yes,5395,1363
chatmimi22,yes,yes,11820,1364
alexdemidov,yes,yes,10805,1367
Pvsklaci,yes,yes,6604,1368
yadneshdhole,yes,yes,7248,1369
crissx,yes,yes,3809,1372
ChakSobchak,yes,yes,4594,1375
JordanRieger,yes,yes,3553,1376
philidor1978,yes,yes,8894,1385
matierno,yes,yes,8852,1386
El_Mattador,yes,yes,5515,1388
Valera_Davidovich,yes,yes,3554,1390
viliukas,yes,yes,7372,1393
bilcos,yes,yes,3682,1395
tafol,yes,yes,5088,1400
wdawg,yes,yes,9071,1402
david1972,yes,yes,4494,1403
bambyk,yes,yes,3281,1404
vadimgav,yes,yes,3768,1405
Gabriel_espi,yes,yes,3521,1407
thebigeasy,yes,yes,18073,1410
sakihromis,yes,yes,3563,1411
vinas25,yes,yes,8231,1416
mcalzetta,yes,yes,4882,1417
sapeg,yes,yes,6477,1422
ChristianRincon,yes,yes,3457,1423
Wander_oliver,yes,yes,3612,1431
sha2nk331,yes,yes,20174,1432
dbgi,yes,yes,4412,1433
ASD1958,yes,yes,23161,1438
r-voronezh,yes,yes,3801,1444
pushkut,yes,yes,6306,1449
Francesco89RoVa,yes,yes,6943,1451
Yg-1,yes,yes,13559,1453
sharif1395,yes,yes,7495,1454
notnice,yes,yes,5945,1457
kaj21,yes,yes,13113,1464
HarriJuha,yes,yes,5029,1466
nursinghalo,yes,yes,12072,1474
kama1342,yes,yes,5100,1475
raazdoss,yes,yes,4323,1476
asrjudicial,yes,yes,13706,1480
festerbestertester,yes,yes,17625,1483
Floigi,yes,yes,3420,1486
Nelson111,yes,yes,15969,1487
lugilardi,yes,yes,4777,1488
leonardojorgecimino1,yes,yes,4737,1495
argoscacchi,yes,yes,43440,1499
Bihagshah,yes,yes,4459,1505
skkondvilkar,yes,yes,5301,1506
nandanm98,yes,yes,10414,1511
thiagozerbino,yes,yes,3132,1512
Andreaberbe,yes,yes,4272,1518
shanat287,yes,yes,16161,1521
overdosed,yes,yes,3614,1524
DR_Bialy,yes,yes,24095,1526
cascavelkid,yes,yes,11195,1532
am063,yes,yes,3299,1533
ghatei,yes,yes,5787,1539
paloca123,yes,yes,10403,1542
vladk0,yes,yes,4364,1543
kokoeyes,yes,yes,4049,1545
Bane2322,yes,yes,9107,1548
GurujitMedhi47,yes,yes,3099,1552
bastonn,yes,yes,7651,1554
emman_ok,yes,yes,4338,1556
Boxman911,yes,yes,11627,1558
michael_50,yes,yes,12907,1562
JPCoimbra,yes,yes,5892,1567
fabifer,yes,yes,6315,1573
SamurayRM,yes,yes,4803,1587
abelgallegos,yes,yes,22719,1588
polkovnik,yes,yes,9200,1599
BrianLucasss,yes,yes,6901,1608
Morden,yes,yes,10628,1613
hedaiat75,yes,yes,4244,1618
brunoregio,yes,yes,10447,1620
lilacurry,yes,yes,3453,1624
lilopop,yes,yes,5316,1627
franm99,yes,yes,5124,1631
nasseralfahad,yes,yes,3543,1633
Fbtv,yes,yes,8172,1638
Xaveri,yes,yes,3637,1641
pminsider,yes,yes,7031,1647
ba_er,yes,yes,3220,1650
mr_issa,yes,yes,14702,1652
Alex1908,yes,yes,12027,1654
dhalsim2,yes,yes,7669,1655
whootle,yes,yes,4549,1656
Tauseef2,yes,yes,9260,1663
aldocayata,yes,yes,6755,1665
lalitendunag29,yes,yes,13815,1666
phunkz29,yes,yes,14721,1669
iannonato,yes,yes,5590,1674
AsokeKumar,yes,yes,4529,1678
Ilijadrazic,yes,yes,8221,1679
darcMadder,yes,yes,7542,1681
srezpervix,yes,yes,8358,1690
Rahk,yes,yes,6939,1694
SoloDolo,yes,yes,7341,1700
aom1969,yes,yes,3218,1702
tomeks1972,yes,yes,3842,1706
pilla,yes,yes,6571,1708
panzer105,yes,yes,4531,1710
Torry,yes,yes,4105,1712
BA1973,yes,yes,6644,1713
Gegam_Amirkhanyan,yes,yes,14348,1714
leggoescrivo49,yes,yes,4215,1715
leonio,yes,yes,29103,1724
Mouclovaine,yes,yes,4769,1725
warlock66613,yes,yes,9343,1726
julianoventurino,yes,yes,3298,1727
Smike,yes,yes,5996,1732
Niimos,yes,yes,3224,1733
Dalmatinac,yes,yes,10484,1741
Ange35,yes,yes,4437,1742
mgpinov,yes,yes,9471,1749
AntonioRomero,yes,yes,4120,1751
ashishksharma,yes,yes,5046,1759
AHTOXA82,yes,yes,7491,1760
sapchess,yes,yes,6349,1765
josueantuneschess,yes,yes,11029,1770
Brfx,yes,yes,3419,1775
diggie,yes,yes,3548,1777
mb49,yes,yes,10180,1780
Alex2208,yes,yes,9388,1784
Gabrieldomal,yes,yes,4613,1792
boeingairbus,yes,yes,3723,1796
Rasto24,yes,yes,3481,1798
Galobh,yes,yes,9552,1802
Re1957,yes,yes,5759,1809
PepeMaster,yes,yes,26042,1810
ricdecca,yes,yes,10242,1812
cauqui,yes,yes,5071,1814
xx229,yes,yes,4803,1815
amid-008,yes,yes,21068,1820
GAGIK2018,yes,yes,4296,1821
boxen111,yes,yes,8542,1825
MaxVasylenko,yes,yes,5041,1828
wakle,yes,yes,6418,1830
Aliksus,yes,yes,5024,1832
PATEKAR,yes,yes,6318,1838
kochergin72,yes,yes,11411,1839
Nessar,yes,yes,3807,1842
pauloflagui,yes,yes,3613,1855
Ottimot,yes,yes,5351,1858
shaytan88,yes,yes,5571,1865
Iniaky_Rovira,yes,yes,8078,1866
PaolinoPaperino,yes,yes,3466,1873
ulog77,yes,yes,10178,1886
escualo,yes,yes,13807,1888
Abhu_Zisant,yes,yes,5235,1891
Ulrico,yes,yes,3808,1896
antkioup,yes,yes,36779,1903
sycamoresnake,yes,yes,33394,1905
chess_boblic,yes,yes,6322,1908
Kuzelux,yes,yes,3544,1912
zorz56,yes,yes,9406,1918
sundaresan,yes,yes,7596,1919
YYUUPP,yes,yes,5677,1922
Lore1973,yes,yes,4067,1926
veteranoob,yes,yes,4647,1927
Ivanmaciel,yes,yes,3813,1941
zan68,yes,yes,3698,1943
gugabom,yes,yes,13410,1944
alex131131,yes,yes,4964,1946
RubenTitan,yes,yes,4950,1949
unnizzzz,yes,yes,10632,1950
elsombrero69,yes,yes,3559,1957
Sadelmi1975,yes,yes,3980,1959
lahcene,yes,yes,14980,1962
Mihail58,yes,yes,17733,1963
Artagadan,yes,yes,6127,1964
darys,yes,yes,5856,1972
Bkool-2,yes,yes,6510,1979
SHOP196,yes,yes,6072,1985
r51db_loonatic_186y,yes,yes,3445,1989
abrilo,yes,yes,6153,1992
KARDAMOSHA,yes,yes,4741,2000
lion4,yes,yes,5328,2003
JustoRamon,yes,yes,4005,2005
capo99999,yes,yes,3668,2007
ilisiopires,yes,yes,4610,2009
nickvalas,yes,yes,5270,2015
yku,yes,yes,30912,2017
parekat,yes,yes,6942,2018
Lenintz,yes,yes,7253,2024
retro13,yes,yes,13465,2031
radhialharazi,yes,yes,12460,2032
IFedoros,yes,yes,10987,2039
leandros,yes,yes,8130,2040
iwogoryca,yes,yes,3287,2041
dsflee,yes,yes,3159,2047
owod,yes,yes,5844,2048
Qazwsx72,yes,yes,6200,2050
Marvas,yes,yes,6332,2051
pepioto,yes,yes,3425,2052
hurbecks69,yes,yes,13125,2057
jihhaahuuuk,yes,yes,5494,2059
Dacian77,yes,yes,6729,2061
murat123456789,yes,yes,3351,2065
sisi06000,yes,yes,6335,2070
Lokhpozhizni,yes,yes,7647,2083
guanabano,yes,yes,3505,2086
Eliasajedrez,yes,yes,5849,2087
omidian1339,yes,yes,40655,2088
Greetsenko,yes,yes,5870,2089
jonasvaal,yes,yes,8414,2092
temuji,yes,yes,3584,2093
mriwech,yes,yes,6825,2094
ahmedayad,yes,yes,3639,2102
arnotz,yes,yes,3583,2107
Humble_Pi,yes,yes,6497,2110
bmv7777,yes,yes,10139,2114
EdekW,yes,yes,7502,2118
urbans,yes,yes,8417,2122
Falcon-am,yes,yes,14766,2123
Rocky65,yes,yes,11227,2124
iProkop,yes,yes,6667,2125
oktayb72,yes,yes,6256,2129
cardoso2019,yes,yes,3268,2132
tttol,yes,yes,4472,2134
Goodbanker911,yes,yes,18500,2136
jamiratom,yes,yes,3042,2137
Mr_Ed1973,yes,yes,6584,2138
Hrum,yes,yes,9678,2142
tuempeltaucher,yes,yes,3993,2143
franccky62,yes,yes,9183,2144
Selter,yes,yes,11370,2152
huamani,yes,yes,6228,2155
Stefanhws,yes,yes,8660,2157
leiso,yes,yes,13790,2166
rikza,yes,yes,8488,2172
Chaton_31,yes,yes,8894,2175
rawone,yes,yes,6252,2189
Iraci,yes,yes,3695,2196
JurekOgurek,yes,yes,5997,2204
msht,yes,yes,23641,2209
XcorSteel,yes,yes,4594,2214
ALIKAL2003,yes,yes,13812,2215
Evgeni_Melnikov,yes,yes,6431,2216
babson,yes,yes,4344,2217
Mr-monde,yes,yes,6212,2220
Hartmutffm,yes,yes,18128,2224
Malevichs,yes,yes,19049,2226
ladybell64,yes,yes,10953,2227
nebojsa1234,yes,yes,31585,2231
NK-04,yes,yes,10489,2232
barcelona100,yes,yes,9924,2238
Acarina,yes,yes,7245,2239
Cristian_l360,yes,yes,3809,2241
geberiyom,yes,yes,8929,2242
Ficale,yes,yes,12019,2243
Sweetboy773,yes,yes,3573,2246
Mamuthus,yes,yes,4541,2248
elchuli,yes,yes,3279,2249
Tonono2,yes,yes,7285,2250
samansoltani1324,yes,yes,3958,2262
davidemen,yes,yes,4467,2264
nomadic_48,yes,yes,5232,2266
jonyjsa2018,yes,yes,4149,2271
Apatzeo,yes,yes,4354,2274
jarkon,yes,yes,5426,2276
siggicv8,yes,yes,6884,2277
VitalyChess,yes,yes,3571,2280
BLACKDRAGON07,yes,yes,5537,2286
gokmenoglum,yes,yes,7222,2290
effectt,yes,yes,6246,2292
pianomariano,yes,yes,3783,2294
sllallom,yes,yes,17757,2297
Praveen_v_s,yes,yes,4113,2298
hyna,yes,yes,3687,2308
eduardobozzi,yes,yes,3507,2311
kadimdost7,yes,yes,13312,2312
ubaldoquispe,yes,yes,6642,2315
Wenno,yes,yes,3901,2325
dspinks,yes,yes,3702,2326
Cald-Or11,yes,yes,16107,2331
Gardenmouse,yes,yes,11181,2338
eagalite,yes,yes,4347,2339
Yllop,yes,yes,3576,2340
AhmedMahrous,yes,yes,6400,2342
hroca,yes,yes,4867,2345
dunnycan,yes,yes,18340,2347
belanchuk,yes,yes,4104,2351
Juanolooo,yes,yes,3034,2354
Serg138,yes,yes,5558,2356
trulytenacious,yes,yes,15916,2359
Lidiy,yes,yes,11088,2361
zeynel71,yes,yes,4082,2363
Thiyagi2u,yes,yes,3413,2367
vadym1,yes,yes,3415,2374
zeptherook,yes,yes,6573,2379
prinz1001,yes,yes,3665,2381
mosampaio,yes,yes,3585,2383
IITimothy,yes,yes,3789,2386
Farhad_65_Esfahan,yes,yes,5622,2387
unburro01,yes,yes,6455,2389
pavel1973,yes,yes,16273,2392
eman1526sh,yes,yes,13327,2397
filini_E,yes,yes,3281,2401
vvtok78,yes,yes,3064,2402
yurilv777,yes,yes,3064,2403
Zezar3,yes,yes,3973,2404
Jaktfia2,yes,yes,8935,2405
walerson,yes,yes,3231,2407
ahamit69,yes,yes,3959,2410
shujau,yes,yes,13724,2419
Svjetlan,yes,yes,9273,2421
MaxKosolapov,yes,yes,3487,2423
yasin555,yes,yes,4298,2425
ghoniemy,yes,yes,7545,2427
macpac,yes,yes,6733,2433
ObamaCare13,yes,yes,3785,2434
dr_syria,yes,yes,5769,2438
robertkarl,yes,yes,19232,2445
kabarda,yes,yes,7827,2447
Qazwsxedcr,yes,yes,5753,2449
jokerav,yes,yes,5339,2451
gabriel21,yes,yes,17174,2455
cxzdsaewq321,yes,yes,3686,2459
aviant_greek,yes,yes,4617,2461
bert45,yes,yes,9689,2463
marian2018,yes,yes,30249,2468
koteswar,yes,yes,14846,2469
Premrefin,yes,yes,6331,2472
hondrade,yes,yes,3468,2474
Senator1,yes,yes,5825,2478
quitecold,yes,yes,8000,2486
aJIJIa6au,yes,yes,11179,2488
mtg02,yes,yes,7252,2493
GH59,yes,yes,8015,2495
sameer29,yes,yes,9735,2499
abdulkhodar,yes,yes,3513,2502
rorobert,yes,yes,7124,2503
Geronimo7,yes,yes,5568,2507
france2b,yes,yes,5005,2510
raja-74_mohan,yes,yes,6325,2516
megi21,yes,yes,18561,2521
GeirM,yes,yes,9068,2524
afshin1970,yes,yes,16715,2534
Szyb,yes,yes,14193,2536
Blackjohn1976,yes,yes,18153,2539
manpu,yes,yes,15709,2545
rampazira,yes,yes,10960,2553
thibault0507,yes,yes,3253,2561
Michas007,yes,yes,5556,2564
igor051158,yes,yes,19755,2568
ayhandonmez,yes,yes,7601,2569
Pavel_1967,yes,yes,5622,2571
Khalidyounis,yes,yes,7410,2572
Leopaul,yes,yes,8598,2576
crackplus,yes,yes,4106,2577
WhiteKnight8x8,yes,yes,9985,2580
Nurdle,yes,yes,17817,2582
hernot,yes,yes,4001,2584
irvi_7667,yes,yes,19744,2585
Nikkitah,yes,yes,15712,2587
Owuda,yes,yes,6182,2596
vladimir61hvn,yes,yes,5351,2598
timoffei09,yes,yes,14371,2599
Ar3s,yes,yes,7958,2607
Notis,yes,yes,4678,2608
fpodoo,yes,yes,8798,2609
jonobri,yes,yes,3782,2617
Caliastros,yes,yes,6595,2621
mrwan,yes,yes,11664,2625
fabios,yes,yes,19647,2626
shlomielazar,yes,yes,3976,2630
SimplyMaster,yes,yes,7371,2632
AMonterrubio,yes,yes,3211,2636
sam4923,yes,yes,14841,2642
Richy2000,yes,yes,6729,2644
RicardoHT,yes,yes,12087,2646
Fran88,yes,yes,3429,2647
qasim1155,yes,yes,18534,2650
Bart010,yes,yes,6819,2652
Kaz1972,yes,yes,3112,2663
radmilkin,yes,yes,7023,2668
crogan,yes,yes,7433,2672
Muri366,yes,yes,5498,2674
marcos_dharma,yes,yes,7186,2676
BrownBread,yes,yes,11311,2686
VasilR,yes,yes,9588,2688
cadrawdel,yes,yes,7287,2689
J1011,yes,yes,4396,2691
sasha1958,yes,yes,5449,2693
huich11,yes,yes,11787,2701
monah36,yes,yes,4232,2706
Hunter04,yes,yes,5663,2710
Shivjaiswal05,yes,yes,4079,2711
bornkt,yes,yes,16105,2715
dmiclass777,yes,yes,9756,2716
marcodevil123,yes,yes,4541,2718
mikhail1952,yes,yes,17628,2724
